id,question
1,Jaka jest nazwa kierunku studiów opisanych w programie?
2,Na jakim poziomie Polskiej Ramy Kwalifikacji znajduje się ten kierunek?
3,Ile semestrów trwają studia stacjonarne na kierunku zarządzanie i inżynieria produkcji?
4,Jaki tytuł zawodowy otrzymuje absolwent tego kierunku?
5,"Ile punktów ECTS trzeba zdobyć, aby ukończyć studia stacjonarne?"
6,Ile godzin zajęć obejmuje program studiów stacjonarnych?
7,Ile godzin praktyk przewidziano w programie dla studiów stacjonarnych?
8,W jakim języku prowadzone są zajęcia?
9,Jakie są kluczowe efekty uczenia się w zakresie wiedzy?
10,Jakie umiejętności praktyczne powinien zdobyć absolwent kierunku?
11,Jakie kompetencje społeczne są wymagane od absolwenta?
12,Na którym semestrze realizowana jest obowiązkowa praktyka zawodowa?
13,Ile punktów ECTS przypisano do praktyki zawodowej?
14,Czy praktyka zawodowa jest oceniana stopniem?
15,Jakie są zasady zaliczenia praktyki zawodowej?
16,Jakie są przedmioty obieralne dostępne na 5 semestrze studiów stacjonarnych?
17,Jakie są przykłady zajęć z obszaru humanistycznego lub społecznego?
18,Jakie przedmioty obieralne dotyczą sztucznej inteligencji i uczenia maszynowego?
19,Na którym semestrze realizowane są zajęcia z wychowania fizycznego?
20,Czy wychowanie fizyczne ma przypisane punkty ECTS?
21,Jakie szkolenia obowiązują studentów w pierwszym semestrze?
22,Ile godzin języka obcego przewidziano w formie stacjonarnej?
23,Na jakim poziomie językowym student powinien posługiwać się językiem obcym po ukończeniu kursu?
24,Jakie są sposoby weryfikacji efektów uczenia się?
25,Jak wygląda proces przygotowania pracy dyplomowej?
26,Ile punktów ECTS przypisano do przygotowania pracy dyplomowej?
27,W jakim semestrze realizowane jest seminarium dyplomowe?
28,Jakie są kryteria zaliczenia semestru?
29,Jakie są stopnie w skali ocen stosowanej na studiach?
30,Czy student może zaproponować własny temat pracy dyplomowej?
31,"Jakie warunki trzeba spełnić, aby móc kontynuować studia mimo niezaliczenia przedmiotu?"
32,Ile razy student może podejść do egzaminu poprawkowego?
33,Jakie są kluczowe obszary wiedzy technicznej wymagane od absolwenta?
34,Czym różni się liczba godzin zajęć między studiami stacjonarnymi a niestacjonarnymi?
35,Jakie są zasady zaliczania przedmiotów obieralnych?
36,Jakie są przykłady przedmiotów z zakresu automatyzacji i robotyzacji produkcji?
37,Które przedmioty rozwijają kompetencje związane z metrologią i systemami pomiarowymi?
38,Na którym semestrze realizowane jest seminarium przeddyplomowe?
39,Ile punktów ECTS przypisano do seminarium przeddyplomowego?
40,Jakie są przykłady zajęć związanych z prowadzoną działalnością naukową uczelni?
41,Jakie efekty uczenia się związane są z projektowaniem wyrobów?
42,Jakie efekty uczenia się odnoszą się do zarządzania jakością?
43,Jakie efekty uczenia się dotyczą znajomości prawa gospodarczego i etyki?
44,Jakie kompetencje zdobywa absolwent w zakresie pracy zespołowej?
45,Czy student może zaliczyć praktykę zawodową na podstawie doświadczenia zawodowego?
46,Jakie są obowiązki studenta podczas praktyki zawodowej?
47,Które zajęcia umożliwiają zdobycie kompetencji inżynierskich?
48,Jakie znaczenie mają przedmioty obieralne w całkowitej liczbie punktów ECTS?
49,Jakie elementy obejmuje proces dyplomowania na tym kierunku?
50,Jak monitorowane są losy absolwentów kierunku?
